contract_symbol,date,open,high,low,close,volume,open_interest,month_of_expiration,ticker,expiration_date
BRT_1,09/12/2016,53.97000122,53.97000122,53.97000122,53.97000122,53.97000122,53.97000122,Feb-17,COG17,29/12/2016
BRT_1,12/12/2016,55.88000107,55.88000107,55.88000107,55.88000107,55.88000107,55.88000107,Feb-17,COG17,29/12/2016
BRT_1,13/12/2016,55.70000076,55.70000076,55.70000076,55.70000076,55.70000076,55.70000076,Feb-17,COG17,29/12/2016
BRT_1,14/12/2016,55.15999985,55.15999985,55.15999985,55.15999985,55.15999985,55.15999985,Feb-17,COG17,29/12/2016
BRT_1,15/12/2016,53.75999832,53.75999832,53.75999832,53.75999832,53.75999832,53.75999832,Feb-17,COG17,29/12/2016
BRT_1,16/12/2016,54.11000061,54.11000061,54.11000061,54.11000061,54.11000061,54.11000061,Feb-17,COG17,29/12/2016
BRT_1,19/12/2016,55.40000153,55.40000153,55.40000153,55.40000153,55.40000153,55.40000153,Feb-17,COG17,29/12/2016
BRT_1,20/12/2016,55.02000046,55.02000046,55.02000046,55.02000046,55.02000046,55.02000046,Feb-17,COG17,29/12/2016
BRT_1,21/12/2016,55.52000046,55.52000046,55.52000046,55.52000046,55.52000046,55.52000046,Feb-17,COG17,29/12/2016
BRT_1,22/12/2016,54.54999924,54.54999924,54.54999924,54.54999924,54.54999924,54.54999924,Feb-17,COG17,29/12/2016
BRT_1,23/12/2016,54.84000015,54.84000015,54.84000015,54.84000015,54.84000015,54.84000015,Feb-17,COG17,29/12/2016
BRT_1,27/12/2016,55.18000031,55.18000031,55.18000031,55.18000031,55.18000031,55.18000031,Feb-17,COG17,29/12/2016
BRT_1,28/12/2016,56.06000137,56.06000137,56.06000137,56.06000137,56.06000137,56.06000137,Feb-17,COG17,29/12/2016
BRT_1,29/12/2016,56.00999832,56.00999832,56.00999832,56.00999832,56.00999832,56.00999832,Feb-17,COG17,29/12/2016
BRT_1,30/12/2016,57,57,57,57,57,57,Mar-17,COH17,31/01/2017
BRT_1,03/01/2017,57.04999924,57.04999924,57.04999924,57.04999924,57.04999924,57.04999924,Mar-17,COH17,31/01/2017
BRT_1,04/01/2017,55.72999954,55.72999954,55.72999954,55.72999954,55.72999954,55.72999954,Mar-17,COH17,31/01/2017
BRT_1,05/01/2017,56.34999847,56.34999847,56.34999847,56.34999847,56.34999847,56.34999847,Mar-17,COH17,31/01/2017
BRT_1,06/01/2017,56.88000107,56.88000107,56.88000107,56.88000107,56.88000107,56.88000107,Mar-17,COH17,31/01/2017
BRT_1,09/01/2017,56.81000137,56.81000137,56.81000137,56.81000137,56.81000137,56.81000137,Mar-17,COH17,31/01/2017
BRT_1,10/01/2017,54.95000076,54.95000076,54.95000076,54.95000076,54.95000076,54.95000076,Mar-17,COH17,31/01/2017
BRT_1,11/01/2017,53.79999924,53.79999924,53.79999924,53.79999924,53.79999924,53.79999924,Mar-17,COH17,31/01/2017
BRT_1,12/01/2017,55.18999863,55.18999863,55.18999863,55.18999863,55.18999863,55.18999863,Mar-17,COH17,31/01/2017
BRT_1,13/01/2017,56,56,56,56,56,56,Mar-17,COH17,31/01/2017
BRT_1,16/01/2017,55.63999939,55.63999939,55.63999939,55.63999939,55.63999939,55.63999939,Mar-17,COH17,31/01/2017
BRT_1,17/01/2017,55.74000168,55.74000168,55.74000168,55.74000168,55.74000168,55.74000168,Mar-17,COH17,31/01/2017
BRT_1,18/01/2017,55.47999954,55.47999954,55.47999954,55.47999954,55.47999954,55.47999954,Mar-17,COH17,31/01/2017
BRT_1,19/01/2017,54.29000092,54.29000092,54.29000092,54.29000092,54.29000092,54.29000092,Mar-17,COH17,31/01/2017
BRT_1,20/01/2017,54.33000183,54.33000183,54.33000183,54.33000183,54.33000183,54.33000183,Mar-17,COH17,31/01/2017
BRT_1,23/01/2017,55.70000076,55.70000076,55.70000076,55.70000076,55.70000076,55.70000076,Mar-17,COH17,31/01/2017
BRT_1,24/01/2017,55.41999817,55.41999817,55.41999817,55.41999817,55.41999817,55.41999817,Mar-17,COH17,31/01/2017
BRT_1,25/01/2017,55.24000168,55.24000168,55.24000168,55.24000168,55.24000168,55.24000168,Mar-17,COH17,31/01/2017
BRT_1,26/01/2017,55.38999939,55.38999939,55.38999939,55.38999939,55.38999939,55.38999939,Mar-17,COH17,31/01/2017
BRT_1,27/01/2017,56.09000015,56.09000015,56.09000015,56.09000015,56.09000015,56.09000015,Mar-17,COH17,31/01/2017
BRT_1,30/01/2017,55.47000122,55.47000122,55.47000122,55.47000122,55.47000122,55.47000122,Mar-17,COH17,31/01/2017
BRT_1,31/01/2017,55.25,55.25,55.25,55.25,55.25,55.25,Mar-17,COH17,31/01/2017
BRT_1,01/02/2017,55.54999924,55.54999924,55.54999924,55.54999924,55.54999924,55.54999924,Apr-17,COJ17,28/02/2017
BRT_1,02/02/2017,56.52999878,56.52999878,56.52999878,56.52999878,56.52999878,56.52999878,Apr-17,COJ17,28/02/2017
BRT_1,03/02/2017,56.91999817,56.91999817,56.91999817,56.91999817,56.91999817,56.91999817,Apr-17,COJ17,28/02/2017
BRT_1,06/02/2017,56.84999847,56.84999847,56.84999847,56.84999847,56.84999847,56.84999847,Apr-17,COJ17,28/02/2017
BRT_1,07/02/2017,55.90999985,55.90999985,55.90999985,55.90999985,55.90999985,55.90999985,Apr-17,COJ17,28/02/2017
BRT_1,08/02/2017,54.5,54.5,54.5,54.5,54.5,54.5,Apr-17,COJ17,28/02/2017
BRT_1,09/02/2017,55.29999924,55.29999924,55.29999924,55.29999924,55.29999924,55.29999924,Apr-17,COJ17,28/02/2017
BRT_1,10/02/2017,55.65999985,55.65999985,55.65999985,55.65999985,55.65999985,55.65999985,Apr-17,COJ17,28/02/2017
BRT_1,13/02/2017,56.68000031,56.68000031,56.68000031,56.68000031,56.68000031,56.68000031,Apr-17,COJ17,28/02/2017
BRT_1,14/02/2017,55.75,55.75,55.75,55.75,55.75,55.75,Apr-17,COJ17,28/02/2017
BRT_1,15/02/2017,55.81999969,55.81999969,55.81999969,55.81999969,55.81999969,55.81999969,Apr-17,COJ17,28/02/2017
BRT_1,16/02/2017,55.74000168,55.74000168,55.74000168,55.74000168,55.74000168,55.74000168,Apr-17,COJ17,28/02/2017
BRT_1,17/02/2017,55.72999954,55.72999954,55.72999954,55.72999954,55.72999954,55.72999954,Apr-17,COJ17,28/02/2017
BRT_1,20/02/2017,55.90000153,55.90000153,55.90000153,55.90000153,55.90000153,55.90000153,Apr-17,COJ17,28/02/2017
BRT_1,21/02/2017,56.16999817,56.16999817,56.16999817,56.16999817,56.16999817,56.16999817,Apr-17,COJ17,28/02/2017
BRT_1,22/02/2017,56.74000168,56.74000168,56.74000168,56.74000168,56.74000168,56.74000168,Apr-17,COJ17,28/02/2017
BRT_1,23/02/2017,56.20000076,56.20000076,56.20000076,56.20000076,56.20000076,56.20000076,Apr-17,COJ17,28/02/2017
BRT_1,24/02/2017,56.40000153,56.40000153,56.40000153,56.40000153,56.40000153,56.40000153,Apr-17,COJ17,28/02/2017
BRT_1,27/02/2017,55.95999908,55.95999908,55.95999908,55.95999908,55.95999908,55.95999908,Apr-17,COJ17,28/02/2017
BRT_1,28/02/2017,56.02000046,56.02000046,56.02000046,56.02000046,56.02000046,56.02000046,Apr-17,COJ17,28/02/2017
BRT_1,01/03/2017,56.45000076,56.45000076,56.45000076,56.45000076,56.45000076,56.45000076,May-17,COK17,31/03/2017
BRT_1,02/03/2017,56.31000137,56.31000137,56.31000137,56.31000137,56.31000137,56.31000137,May-17,COK17,31/03/2017
BRT_1,03/03/2017,55.18000031,55.18000031,55.18000031,55.18000031,55.18000031,55.18000031,May-17,COK17,31/03/2017
BRT_1,06/03/2017,55.79999924,55.79999924,55.79999924,55.79999924,55.79999924,55.79999924,May-17,COK17,31/03/2017
BRT_1,07/03/2017,55.95000076,55.95000076,55.95000076,55.95000076,55.95000076,55.95000076,May-17,COK17,31/03/2017
BRT_1,08/03/2017,55.63000107,55.63000107,55.63000107,55.63000107,55.63000107,55.63000107,May-17,COK17,31/03/2017
BRT_1,09/03/2017,53.49000168,53.49000168,53.49000168,53.49000168,53.49000168,53.49000168,May-17,COK17,31/03/2017
BRT_1,10/03/2017,52.33000183,52.33000183,52.33000183,52.33000183,52.33000183,52.33000183,May-17,COK17,31/03/2017
BRT_1,13/03/2017,51.49000168,51.49000168,51.49000168,51.49000168,51.49000168,51.49000168,May-17,COK17,31/03/2017
BRT_1,14/03/2017,51.34000015,51.34000015,51.34000015,51.34000015,51.34000015,51.34000015,May-17,COK17,31/03/2017
BRT_1,15/03/2017,51.5,51.5,51.5,51.5,51.5,51.5,May-17,COK17,31/03/2017
BRT_1,16/03/2017,52.08000183,52.08000183,52.08000183,52.08000183,52.08000183,52.08000183,May-17,COK17,31/03/2017
BRT_1,17/03/2017,51.74000168,51.74000168,51.74000168,51.74000168,51.74000168,51.74000168,May-17,COK17,31/03/2017
BRT_1,20/03/2017,51.79999924,51.79999924,51.79999924,51.79999924,51.79999924,51.79999924,May-17,COK17,31/03/2017
BRT_1,21/03/2017,51.70000076,51.70000076,51.70000076,51.70000076,51.70000076,51.70000076,May-17,COK17,31/03/2017
BRT_1,22/03/2017,50.86000061,50.86000061,50.86000061,50.86000061,50.86000061,50.86000061,May-17,COK17,31/03/2017
BRT_1,23/03/2017,50.83000183,50.83000183,50.83000183,50.83000183,50.83000183,50.83000183,May-17,COK17,31/03/2017
BRT_1,24/03/2017,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,May-17,COK17,31/03/2017
